OID,Description,Document,Pages
COM.ADSL,Screen Failures are excluded since they are not needed for this study analysis. See referenced dataset creation program and ADRG,LF.ADSL.PGM,
COM.ADSL,Screen Failures are excluded since they are not needed for this study analysis. See referenced dataset creation program and ADRG,LF.ADRG,6
COM.ADAE,See SAS program,LF.CODE.001,
COM.ADQSADAS,See referenced dataset creation program and ADRG,LF.ADQSADAS.PGM,
COM.ADQSADAS,See referenced dataset creation program and ADRG,LF.ADRG,Section2.1
COM.JOIN-ADSL-ADAE,Get denominators for percentages from ADSL and counts and numerators from ADAE. Join ADAE with ADSL based on the unique subject identifier (USUBJID) keeping only records in ADAE for the numerator.,,
COM.ADQSADAS.AVISITN,Numeric code for AVISIT,,
COM.ADQSADAS.PARAMN,Numeric code for PARAM,,
COM.ADQSADAS.AWRANGE,"Window range, specified in the SAP.",,
COM.ADQSADAS.AWTARGET,"Target day within the window, specified in the SAP.",,
COM.ADQSADAS.AWLO,"Start day of the window, specified in the SAP.",,
COM.ADQSADAS.AWHI,"End day of the window, specified in the SAP.",,
COM.ADQSADAS.AWU,"Assigned as ""DAYS"".",,
COM.ADSL.TRT01PN,Numeric code for TRT01P,,
COM.ADSL.TRT01A,"TRT01A=TRT01P, i.e., no difference between actual and randomized treatment in this study.",,
COM.ADSL.TRT01AN,Numeric code for TRT01A,,
COM.ADSL.AGEGR1N,Numeric code for AGEGR1,,
COM.ADSL.RACEN,Numeric code for RACE,,
COM.ADQSADAS.DTYPE.ACITM01-ACITM14,Value: null,,
COM.ADQSADAS.DTYPE.ACTOT,Value: LOCF denotes that the LOCF imputation method was used to impute the value for the given parameter and analysis visit.,,
COM.ADQSADAS.QSSEQ.ACTOT,Set QSSEQ to missing for post baseline records. Set to QS.QSSEQ where QS.VISIT=BASELINE and QS.QSTESTCD=ACTOT.,,
COM.STDCT.01,ADaM specific CT is applicable for a few variables only.,,
COM.STDCT.02,SDTM CT is applicable for variables copied from SDTM to ADaM.,,
